2015-03-06 17:35:26 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Applications/MAMP/htdocs/cakephp-1.3.20/cake/libs/debugger.php, line 697]
2015-03-06 17:35:26 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Applications/MAMP/htdocs/cakephp-1.3.20/cake/libs/debugger.php, line 701]
2015-03-06 19:44:41 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:44:52 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:44:52 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:45:08 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:45:30 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:45:30 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:47:01 Notice: Notice (8): Undefined offset: 1 in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:47:11 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 12]
2015-03-06 19:52:03 Notice: Notice (8): Undefined index: creaded in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/mi_pagina/index.ctp, line 19]
2015-03-09 17:07:35 Notice: Notice (8): Undefined property: AdministradorController::$request in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:08:58 Notice: Notice (8): Undefined property: AdministradorController::$categoria in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:09:55 Notice: Notice (8): Undefined variable: categoria in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:10:05 Notice: Notice (8): Undefined property: AdministradorController::$request in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:10:42 Notice: Notice (8): Undefined property: AdministradorController::$RequestHandler in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:01 Notice: Notice (8): Undefined property: AdministradorController::$RequestHandler in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:02 Notice: Notice (8): Undefined property: AdministradorController::$RequestHandler in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:02 Notice: Notice (8): Undefined property: AdministradorController::$RequestHandler in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:02 Notice: Notice (8): Undefined property: AdministradorController::$RequestHandler in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:02 Notice: Notice (8): Undefined property: AdministradorController::$RequestHandler in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:17 Notice: Notice (8): Undefined property: AdministradorController::$request in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:11:26 Notice: Notice (8): Undefined variable: request in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:12:57 Notice: Notice (8): Undefined property: AdministradorController::$publicaciones in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 17:13:07 Notice: Notice (8): Undefined property: AdministradorController::$publicacion in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 25]
2015-03-09 19:45:50 Notice: Notice (8): Undefined property: AutorController::$Publicacion in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 13]
2015-03-09 19:58:09 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:58:09 Notice: Notice (8): Undefined variable: publicaciones in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 44]
2015-03-09 19:59:15 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:59:26 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:59:39 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:59:39 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:59:39 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:59:40 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
2015-03-09 19:59:59 Notice: Notice (8): Undefined variable: arrAutores in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/autor_controller.php, line 24]
